160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
196	248	222
160	160	128
198	247	222
160	160	128
200	247	222
160	160	128
202	246	222
160	160	128
160	160	128
160	160	128
208	245	222
182	197	222
182	194	222
181	191	222
160	160	128
180	189	222
160	160	128
180	188	222
181	187	222
182	187	222
183	187	222
183	187	222
184	186	222
185	186	222
186	186	222
187	186	222
184	183	222
184	181	222
184	180	222
184	179	222
184	178	222
183	177	222
183	177	222
183	176	222
183	175	222
183	174	222
183	173	222
183	173	222
183	172	222
182	171	222
182	171	222
182	170	222
182	169	222
182	169	222
182	168	222
182	167	222
182	167	222
182	166	222
182	166	222
181	165	222
181	165	222
181	164	222
181	164	222
181	163	222
181	163	222
181	162	222
181	162	222
181	161	222
181	161	222
188	160	222
190	160	222
193	159	222
196	158	222
202	158	222
160	160	128
210	156	222
160	160	128
212	155	222
179	157	222
178	156	222
178	156	222
178	156	222
178	155	222
178	155	222
178	155	222
177	154	222
178	154	222
177	153	222
177	153	222
178	153	222
178	152	222
178	152	222
178	151	222
178	151	222
176	151	222
176	151	222
176	150	222
176	150	222
176	150	222
176	149	222
176	149	222
176	148	222
176	148	222
176	147	222
176	147	222
175	146	222
175	146	222
176	145	222
176	145	222
175	144	222
175	143	222
175	143	222
175	142	222
175	141	222
175	141	222
175	140	222
175	139	222
175	139	222
175	138	222
175	137	222
175	136	222
175	135	222
175	134	222
175	133	222
175	132	222
175	130	222
175	129	222
175	128	222
175	126	222
175	124	222
175	123	222
175	120	222
175	118	222
187	75	222
185	76	222
183	76	222
181	76	222
179	77	222
177	77	222
160	160	128
176	77	222
174	77	222
172	78	222
170	78	222
169	78	222
167	78	222
165	78	222
164	79	222
162	79	222
160	79	222
159	79	222
157	79	222
155	80	222
154	80	222
152	80	222
144	17	222
141	17	222
138	19	222
135	20	222
133	21	222
130	21	222
127	22	222
124	21	222
121	22	222
118	23	222
115	23	222
112	24	222
109	24	222
106	25	222
103	25	222
100	25	222
97	26	222
94	26	222
90	25	222
87	26	222
83	25	222
79	26	222
64	14	222
59	13	222
55	14	222
48	17	222
44	17	222
160	160	128
38	17	222
34	18	222
28	18	222
24	19	222
160	160	128
20	21	222
54	63	222
130	136	222
160	160	128
131	140	222
160	160	128
160	160	128
160	160	128
131	144	222
160	160	128
131	145	222
132	145	222
160	160	128
132	146	222
160	160	128
132	147	222
160	160	128
132	148	222
132	148	222
132	149	222
132	150	222
132	150	222
132	151	222
132	152	222
133	152	222
133	153	222
144	156	222
144	157	222
144	157	222
144	157	222
144	158	222
144	158	222
145	158	222
145	159	222
145	159	222
145	159	222
145	160	222
145	160	222
145	160	222
145	161	222
145	161	222
145	161	222
145	162	222
145	162	222
144	162	222
144	163	222
131	167	222
160	160	128
144	164	222
160	160	128
144	165	222
160	160	128
132	170	222
133	171	222
132	172	222
160	160	128
132	172	222
160	160	128
160	160	128
134	173	222
132	176	222
132	176	222
160	160	128
132	177	222
160	160	128
132	178	222
133	179	222
160	160	128
133	179	222
133	180	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
